date,player,team,salary,batting_order,blended_rating,attack_conf,actual_dk_pts
2026-07-05,Otto Lopez,Miami Marlins,4300,1,59.5,68.75336322869956,30.0
2026-07-05,Randy Arozarena,Seattle Mariners,5000,2,64.2,79.04842615012106,4.5
2026-07-05,Masataka Yoshida,Boston Red Sox,3000,5,69.3,98.70044052863436,11.0
2026-07-05,Ty France,San Diego Padres,3000,5,52.8,67.15,-0.5
2026-07-05,Lawrence Butler,Athletics,3000,1,49.7,62.950930626057534,10.5
2026-07-05,Alex Call,Los Angeles Dodgers,3000,6,57.3,80.45810055865923,1.0
2026-07-05,Zack Gelof,Athletics,3000,1,47.3,60.507246376811594,5.0
2026-07-05,Josh Lowe,Los Angeles Angels,3000,9,33.8,34.0,5.5
2026-07-05,Mitch Garver,Seattle Mariners,3000,7,40.8,48.267175572519086,15.5
2026-07-05,Sungmun Song,San Diego Padres,3000,8,36.5,48.0,17.0
2026-07-06,James Wood,Washington Nationals,5900,1,103.8,100.0,35.0
2026-07-06,Freddie Freeman,Los Angeles Dodgers,3000,3,95.5,100.0,3.0
2026-07-06,Ketel Marte,Arizona Diamondbacks,5100,1,91.7,100.0,9.0
2026-07-06,Nelson Velazquez,St. Louis Cardinals,3500,4,91.0,100.0,9.0
2026-07-06,Mookie Betts,Los Angeles Dodgers,3000,4,86.1,92.89673913043478,0.0
2026-07-06,Francisco Lindor,New York Mets,4200,4,86.7,100.0,-0.5
2026-07-06,Hunter Goodman,Colorado Rockies,5200,3,60.9,52.06896551724138,3.0
2026-07-06,Garrett Mitchell,Milwaukee Brewers,3100,6,84.0,100.0,9.5
2026-07-06,Dalton Rushing,Los Angeles Dodgers,3000,9,71.2,79.0,18.5
2026-07-06,Aj Ewing,New York Mets,3300,1,78.8,100.0,0.5
2026-07-06,Tj Rumfield,Colorado Rockies,4100,4,55.8,60.951945080091534,-0.5
2026-07-06,Gavin Sheets,San Diego Padres,3000,4,63.9,79.6923076923077,2.5
2026-07-06,Jake Mccarthy,Colorado Rockies,3900,7,51.7,56.10982658959537,9.0
2026-07-06,Heliot Ramos,San Francisco Giants,3000,1,47.6,48.920529801324506,43.5
2026-07-06,Mauricio Dubon,Atlanta Braves,3000,5,57.9,69.45502645502646,4.5
2026-07-06,Rafael Devers,San Francisco Giants,3000,4,49.6,53.37800252844501,8.0
2026-07-06,Isaac Paredes,Houston Astros,3700,3,66.6,88.66536964980546,3.5
2026-07-06,Victor Bericoto,San Francisco Giants,3000,8,39.3,36.763440860215056,19.0
2026-07-06,Sal Frelick,Milwaukee Brewers,3000,7,39.5,46.6801872074883,6.0
2026-07-06,Sungmun Song,San Diego Padres,3000,8,43.0,57.0,0.0
2026-07-06,David Hamilton,Milwaukee Brewers,2700,9,35.2,42.73584905660377,11.5
2026-07-06,Chandler Simpson,Tampa Bay Rays,3800,6,33.7,40.64596273291925,5.0
2026-07-06,Taylor Walls,Tampa Bay Rays,2900,9,23.5,26.793650793650798,-1.0
2026-07-07,James Wood,Washington Nationals,6200,1,116.7,100.0,20.5
2026-07-07,Juan Soto,New York Mets,5800,2,110.0,100.0,17.5
2026-07-07,Willson Contreras,Boston Red Sox,4900,4,105.1,100.0,15.5
2026-07-07,Miguel Vargas,Chicago White Sox,4400,1,105.0,100.0,1.5
2026-07-07,Ketel Marte,Arizona Diamondbacks,5000,1,95.9,100.0,7.0
2026-07-07,Pete Crowarmstrong,Chicago Cubs,6400,1,94.8,100.0,7.5
2026-07-07,Kyle Tucker,Los Angeles Dodgers,4800,6,88.3,100.0,-0.5
2026-07-07,Hunter Goodman,Colorado Rockies,5300,3,65.4,67.19119351100811,0.0
2026-07-07,Heliot Ramos,San Francisco Giants,3500,1,64.1,65.5210918114144,9.5
2026-07-07,Xavier Edwards,Miami Marlins,4100,4,80.2,100.0,4.0
2026-07-07,Michael Conforto,Chicago Cubs,3500,7,79.4,98.99163679808841,2.5
2026-07-07,Esmerlyn Valdez,Pittsburgh Pirates,3000,4,79.8,100.0,10.5
2026-07-07,Rafael Devers,San Francisco Giants,3700,4,59.2,60.911392405063296,5.0
2026-07-07,Otto Lopez,Miami Marlins,4300,3,78.2,100.0,3.0
2026-07-07,Cam Smith,Houston Astros,3000,5,68.7,84.12023460410558,4.0
2026-07-07,Josh Bell,Minnesota Twins,2600,3,72.9,93.48303934871099,10.0
2026-07-07,Nick Gonzales,Pittsburgh Pirates,3000,6,76.2,100.0,8.0
2026-07-07,Tyler Stephenson,Cincinnati Reds,3000,7,68.5,86.5232558139535,1.5
2026-07-07,Kyle Stowers,Miami Marlins,3900,2,72.2,96.23308270676692,0.5
